Category,Price,Rating,Stock,Discount
Unknown,0.5502677579064362,0.21762760973800027,In Stock,0.0
Unknown,0.29736283722340107,0.9399568359571279,In Stock,0.7755102040816326
Unknown,0.39426088713751645,0.5207552497147244,In Stock,0.0
Unknown,0.4754976255430939,0.12300804248309244,In Stock,0.673469387755102
Unknown,0.17328483378801657,0.5207552497147244,Out of Stock,0.4693877551020408
Unknown,0.3455592603819339,0.5207552497147244,In Stock,0.5102040816326531
C,0.05708800646660605,0.6674188672542901,In Stock,0.836734693877551
A,0.7096089724158836,0.9965429036196524,Out of Stock,0.14285714285714285
A,0.27028392442154187,0.4197720029368498,In Stock,0.12244897959183673
Unknown,0.03647569970698192,0.9070331651554423,In Stock,0.061224489795918366
A,0.10599171466100839,0.4871783651870676,In Stock,0.5102040816326531
A,0.3708194402344145,0.9732160025948488,In Stock,0.9183673469387754
Unknown,0.7696271597453773,0.495784772993601,In Stock,0.08163265306122448
C,0.8400525411740931,0.0676872577896453,In Stock,0.5918367346938775
B,0.8515711831868242,0.5207552497147244,In Stock,0.2040816326530612
A,0.7915529958573304,0.5084404008826325,In Stock,0.8979591836734693
B,0.9312923108012529,0.6200693904537854,In Stock,0.5714285714285714
Unknown,0.4945438011518642,0.7747679894204466,In Stock,0.8163265306122448
D,0.1984439729210872,0.5207552497147244,In Stock,0.6122448979591836
B,0.16995049004748916,0.5207552497147244,In Stock,0.24489795918367346
Unknown,0.5544104274022431,0.5207552497147244,In Stock,0.7959183673469387
C,0.4945438011518642,0.5207552497147244,Out of Stock,0.5102040816326531
Unknown,0.41163989087602304,0.3161225325502094,In Stock,0.8571428571428571
D,0.030817419420026276,0.44375864953245536,In Stock,0.8979591836734693
Unknown,0.6980903304031524,0.5207552497147244,In Stock,0.7755102040816326
Unknown,0.840254622612913,0.5207552497147244,In Stock,0.5102040816326531
Unknown,0.33373749621097304,0.5207552497147244,In Stock,0.9795918367346939
D,0.1646963726381732,0.5207552497147244,In Stock,0.5102040816326531
B,0.5807820551682328,0.3162081893779173,Out of Stock,0.8775510204081632
Unknown,0.4945438011518642,0.3395065348425137,In Stock,0.44897959183673464
Unknown,0.060826513084773166,0.5207552497147244,In Stock,0.9591836734693877
Unknown,0.22643225219763566,0.21585210246840303,Out of Stock,0.3469387755102041
Unknown,0.4945438011518642,0.5207552497147244,In Stock,0.5102040816326531
Unknown,0.18268162069313934,0.7127362737136821,Out of Stock,0.2857142857142857
Unknown,0.9300798221683338,0.5207552497147244,Out of Stock,0.42857142857142855
Unknown,0.2252197635647166,0.7384432904926609,In Stock,0.8775510204081632
D,0.6125088410629483,0.8268826494200491,Out of Stock,0.02040816326530612
B,0.8040820450641608,0.2265033830260204,Out of Stock,0.8775510204081632
Unknown,0.5562291603516216,0.9478879232323975,In Stock,0.3061224489795918
Unknown,0.46761644942911995,0.5207552497147244,In Stock,0.6122448979591836
Unknown,0.9222996867737698,0.5207552497147244,In Stock,0.16326530612244897
Unknown,0.10205112660402142,0.5207552497147244,In Stock,0.7755102040816326
Unknown,0.4332626048297464,0.5207552497147244,In Stock,0.6938775510204082
Unknown,0.8469233100939678,0.5207552497147244,Out of Stock,0.7346938775510203
D,0.6378700616348388,0.9965859580442195,Out of Stock,0.24489795918367346
Unknown,0.4533697079923209,0.5207552497147244,Out of Stock,0.9591836734693877
A,0.2180458724866121,0.5207552497147244,In Stock,0.7551020408163265
Unknown,0.1674244720622411,0.8642951137419873,In Stock,0.7551020408163265
Unknown,0.7161766191775285,0.23113208297283627,In Stock,0.5102040816326531
Unknown,0.866222087501263,0.444756978234612,Out of Stock,0.5102040816326531
Unknown,0.5365262200666868,0.5207552497147244,Out of Stock,0.4897959183673469
A,0.6266545417803374,0.5207552497147244,In Stock,0.6326530612244897
C,0.98696574719612,0.4511174920249482,Out of Stock,0.7551020408163265
C,0.10427402243103971,0.47191737845957926,In Stock,0.3061224489795918
B,0.9793876932403759,0.5207552497147244,In Stock,0.3469387755102041
B,0.33777912498736995,0.5207552497147244,In Stock,0.061224489795918366
Unknown,0.8405577447711428,0.08452575554791852,In Stock,0.04081632653061224
Unknown,0.3166616146306962,0.9883339474774716,Out of Stock,0.04081632653061224
Unknown,0.1537839749419016,0.5207552497147244,Out of Stock,0.6938775510204082
Unknown,0.07113266646458523,0.7931154732783826,In Stock,0.16326530612244897
Unknown,0.9887844801454986,0.5207552497147244,In Stock,0.5918367346938775
Unknown,0.8761240780034354,0.21654599293712462,Out of Stock,0.3469387755102041
D,0.3915327877134485,0.5207552497147244,Out of Stock,0.6530612244897959
D,0.2171365060119228,0.5207552497147244,In Stock,0.5102040816326531
Unknown,0.7820551682327977,0.5207552497147244,In Stock,0.6122448979591836
A,0.4955036879862585,0.7092694126970572,Out of Stock,0.5102040816326531
Unknown,0.3112054157825604,0.5207552497147244,In Stock,0.26530612244897955
Unknown,0.10447610386985955,0.5207552497147244,In Stock,0.3877551020408163
Unknown,0.097403253511165,0.5207552497147244,Out of Stock,0.2040816326530612
B,0.09366474689299788,0.8664928338104024,In Stock,0.7755102040816326
Unknown,0.17035465292512883,0.5207552497147244,Out of Stock,0.14285714285714285
Unknown,0.6210973022127917,0.5207552497147244,In Stock,0.32653061224489793
D,0.8006466606042235,0.5207552497147244,In Stock,0.9387755102040816
A,0.9511973325250075,0.16435077090082478,In Stock,0.1020408163265306
Unknown,0.0764878245933111,0.05693113258094956,In Stock,0.9999999999999999
Unknown,0.6759624128523795,0.37359413506999484,In Stock,0.5306122448979591
Unknown,0.8617762958472264,0.577396451797416,In Stock,0.2040816326530612
Unknown,0.6455491563099929,0.9118554015115287,In Stock,0.32653061224489793
Unknown,0.4945438011518642,0.7595554081402728,In Stock,0.673469387755102
D,0.054561988481357994,0.1495901074515022,Out of Stock,0.5714285714285714
B,0.41628776396887945,0.8037212540302273,In Stock,0.4081632653061224
A,0.1879357381024553,0.9945924567326007,In Stock,0.12244897959183673
Unknown,0.2037991310498131,0.6657626638151736,In Stock,0.8163265306122448
Unknown,0.13529352328988584,0.603951959684956,In Stock,0.8775510204081632
Unknown,0.6852581590380923,0.5207552497147244,In Stock,0.9999999999999999
D,0.24674143679903005,0.5207552497147244,In Stock,0.5102040816326531
B,0.6074568050924523,0.5207552497147244,In Stock,0.8979591836734693
Unknown,0.8098413660705264,0.5207552497147244,In Stock,0.9183673469387754
Unknown,0.4945438011518642,0.3954238252896347,Out of Stock,0.7346938775510203
A,0.40163685965444074,0.5207552497147244,Out of Stock,0.5714285714285714
D,0.2803879963625341,0.5327884459891777,Out of Stock,0.9999999999999999
B,0.8710720420329392,0.6880901327125325,In Stock,0.836734693877551
Unknown,0.8637971102354248,0.8209999593150067,In Stock,0.04081632653061224
Unknown,0.3213094877235526,0.5207552497147244,Out of Stock,0.8163265306122448
D,0.9488733959785793,0.44530752259630046,Out of Stock,0.6938775510204082
Unknown,0.6543396988986561,0.5315623145284686,In Stock,0.5714285714285714
Unknown,0.7158734970192987,0.5207552497147244,In Stock,0.24489795918367346
Unknown,0.1346872789734263,0.5207552497147244,In Stock,0.4693877551020408
Unknown,0.14741840961907648,0.4642265851088928,In Stock,0.12244897959183673
Unknown,0.27038496514095184,0.9124074755059891,In Stock,0.8775510204081632
A,0.46983934525613824,0.8979775555344215,In Stock,0.02040816326530612
